0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Chopin Prelude  No. 6, Opus 28"
1, 0, Copyright_t, "Copyright © 2002 by Bernd Krueger "
1, 0, Text_t, "Frederic Chopin"
1, 0, Text_t, "Assai lento"
1, 0, Text_t, "Fertiggestellt am 27.8.2002\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 8.6.2010\012"
1, 0, Text_t, "Update am 20-2-2014 (keine Änderungen)\012"
1, 0, Text_t, "Dauer: 1:38 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 1276596
1, 40, Tempo, 1263158
1, 80, Tempo, 1250000
1, 100, Tempo, 1176471
1, 160, Tempo, 1165049
1, 220, Tempo, 1153846
1, 260, Tempo, 1142857
1, 320, Tempo, 1132075
1, 360, Tempo, 1121495
1, 420, Tempo, 1111111
1, 460, Tempo, 1100917
1, 480, Tempo, 1153846
1, 500, Tempo, 1132075
1, 720, Tempo, 1200000
1, 960, Tempo, 1121495
1, 1200, Tempo, 1165049
1, 1220, Tempo, 1153846
1, 1320, Tempo, 1263158
1, 1440, Tempo, 1165049
1, 1680, Tempo, 1153846
1, 1920, Tempo, 1121495
1, 2160, Tempo, 1176471
1, 2400, Tempo, 1200000
1, 2880, Tempo, 1250000
1, 2960, Tempo, 1237113
1, 3000, Tempo, 1142857
1, 3100, Tempo, 1132075
1, 3180, Tempo, 1121495
1, 3260, Tempo, 1111111
1, 3340, Tempo, 1100917
1, 3360, Tempo, 1132075
1, 3600, Tempo, 1200000
1, 3840, Tempo, 1121495
1, 4080, Tempo, 1176471
1, 4200, Tempo, 1250000
1, 4320, Tempo, 1176471
1, 4560, Tempo, 1132075
1, 4800, Tempo, 1100917
1, 5040, Tempo, 1142857
1, 5280, Tempo, 1224490
1, 5520, Tempo, 1276596
1, 5720, Tempo, 1263158
1, 5800, Tempo, 1250000
1, 5840, Tempo, 1237113
1, 5880, Tempo, 1200000
1, 5960, Tempo, 1188119
